datetime,local,cuota_local,cuota_empate,cuota_visitante,visitante,fecha,hora
2023-11-16 20:48:48.970442,Rionegro Aguilas,1.95,3.55,4.00,Tolima,18 Nov,14:00
2023-11-16 20:48:49.036041,CD Junior,1.75,3.65,5.25,Deportivo Cali,18 Nov,16:30
2023-11-16 20:48:49.096442,Millonarios,2.10,3.35,3.70,América de Cali,19 Nov,13:00
2023-11-16 20:48:49.167896,Independiente Medellin,2.15,3.45,3.45,Atlético Nacional,19 Nov,15:30
2023-11-17 18:54:36.705781,Rionegro Aguilas,1.95,3.55,4.00,Tolima,18 Nov,14:00
2023-11-17 18:54:36.768604,CD Junior,1.727,3.70,5.25,Deportivo Cali,18 Nov,16:30
2023-11-17 18:54:36.826554,Millonarios,2.10,3.35,3.70,América de Cali,19 Nov,13:00
2023-11-17 18:54:36.886104,Independiente Medellin,2.15,3.45,3.45,Atlético Nacional,19 Nov,15:30
2023-11-18 06:35:48.918914,Rionegro Aguilas,2.05,3.35,3.90,Tolima,18 Nov,14:00
2023-11-18 06:35:48.987962,CD Junior,1.727,3.70,5.25,Deportivo Cali,18 Nov,16:30
2023-11-18 06:35:49.053186,Millonarios,2.10,3.35,3.70,América de Cali,19 Nov,13:00
2023-11-18 06:35:49.117331,Independiente Medellin,2.15,3.45,3.45,Atlético Nacional,19 Nov,15:30
2023-11-18 22:40:40.730753,Millonarios,2.15,3.30,3.65,América de Cali,19 Nov,13:00
2023-11-18 22:40:40.792701,Independiente Medellin,2.20,3.40,3.40,Atlético Nacional,19 Nov,15:30
2023-11-18 22:40:40.865337,Tolima,1.769,3.50,4.75,Deportivo Cali,25 Nov,14:00
2023-11-18 22:40:40.944214,CD Junior,1.909,3.35,4.20,Rionegro Aguilas,25 Nov,16:30
2023-11-19 19:58:37.953794,Tolima,1.769,3.50,4.75,Deportivo Cali,25 Nov,14:00
2023-11-19 19:58:38.016844,CD Junior,2.00,3.20,4.20,Rionegro Aguilas,25 Nov,16:30
2023-11-19 19:58:38.077807,Millonarios,2.00,3.30,3.90,Independiente Medellin,26 Nov,13:00
2023-11-19 19:58:38.139224,Atlético Nacional,2.25,3.25,3.25,América de Cali,26 Nov,15:30
2023-11-20 10:17:42.092064,Tolima,1.75,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-20 10:17:42.158768,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-20 10:17:42.214771,Millonarios,2.00,3.40,3.85,Independiente Medellin,26 Nov,13:00
2023-11-20 10:17:42.272550,Atlético Nacional,2.15,3.40,3.35,América de Cali,26 Nov,15:30
2023-11-20 11:08:23.845859,Tolima,1.75,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-20 11:08:23.942704,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-20 11:08:24.010077,Millonarios,2.00,3.40,3.85,Independiente Medellin,26 Nov,13:00
2023-11-20 11:08:24.080049,Atlético Nacional,2.15,3.40,3.35,América de Cali,26 Nov,15:30
2023-11-20 14:16:06.426273,Tolima,1.75,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-20 14:16:06.482191,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-20 14:16:06.559697,Millonarios,2.00,3.40,3.85,Independiente Medellin,26 Nov,13:00
2023-11-20 14:16:06.763624,Atlético Nacional,2.15,3.40,3.35,América de Cali,26 Nov,15:30
2023-11-21 00:47:33.404167,Tolima,1.727,3.60,5.00,Deportivo Cali,25 Nov,14:00
2023-11-21 00:47:33.626968,CD Junior,1.95,3.25,4.20,Rionegro Aguilas,25 Nov,16:30
2023-11-21 00:47:33.692469,Millonarios,2.00,3.30,4.00,Independiente Medellin,26 Nov,13:00
2023-11-21 00:47:33.749304,Atlético Nacional,2.25,3.25,3.25,América de Cali,26 Nov,15:30
2023-11-21 10:14:41.442220,Tolima,1.727,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-21 10:14:41.514996,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-21 10:14:41.570148,Millonarios,2.00,3.40,3.75,Independiente Medellin,26 Nov,13:00
2023-11-21 10:14:41.639603,Atlético Nacional,2.15,3.35,3.30,América de Cali,26 Nov,15:30
